ph,Turbidity,Chloramines,Solids,Potability
4.462483300822918,4.37946149191751,6.324509098230875,18538.68814162351,0
7.036752103833548,5.284233272110425,9.410657997698486,24873.622781133807,0
7.036752103833548,3.954964291727349,6.730276517344546,21919.47016261208,1
8.41608681704654,4.9300838102540485,7.784123048553013,28234.906857156184,0
8.848927372187074,5.992325026682801,5.399012624095749,24417.86132450149,0
6.5,4.250867672151468,7.4375358038566945,23012.315310921425,0
7.036752103833548,4.775120946563509,6.464581173377723,31606.34882629806,1
3.1827527088228518,4.271593419057318,7.408150021360958,19561.95132392818,0
5.44532598066911,3.946989523134861,7.208945954961548,28001.11817880314,0
5.803496975764156,2.1817141666785806,4.146601117658612,19451.767602835265,1
7.058182608235123,3.61383477061922,8.556396061089337,26608.929154106638,1
7.3496533769711,3.861684092322543,7.177789422279594,20443.135054903632,1
6.588007289609895,4.216454466143605,6.78093611514574,23898.97447677574,1
7.890263352659877,4.636738762684457,7.141359630149279,17645.06533969323,0
7.710959938844849,4.288946820394494,5.389248620834634,6552.626314154267,1
7.617524134239115,3.6983173972917056,6.952616889200849,30308.231180576546,0
6.715940563939271,2.4047292060079903,8.915970937560093,17180.188184343613,1
6.877456932576713,3.827650071735445,7.091521514260433,27433.587294151766,1
5.873157137066786,5.120887964619865,9.752878651924869,21910.763569830207,0
7.036752103833548,3.9868823350112574,7.634724094135441,19026.67284159868,1
6.648793010019957,5.138047828184837,7.656506229429677,16388.405264965637,0
6.565633547125035,2.7709484970749205,6.693213781270785,19044.68007121265,1
7.256015038533906,4.534960272538596,5.265557586247642,44184.23045950258,0
7.487823586855462,4.079629453024507,7.426734804572392,19602.097204012247,0
7.725192099493611,4.1633255369929305,5.34031864919632,20461.759043330087,1
5.4566808884538265,3.799472548553733,6.826782139377206,20967.84060967087,0
7.387433763492869,3.830577272004085,9.273679481984235,11694.635285297503,1
7.7762194377374385,3.5994017185965212,5.736651893406818,11960.921845232431,1
7.036752103833548,4.358298340908286,7.472249065980871,18257.569271194705,1
6.593764313289441,2.346578095251962,9.785695834102263,25589.610591845038,1
8.040144167343296,3.986459812349238,8.136930576288464,6879.764653372923,1
4.047554519209261,4.782354559925991,6.079903140092051,19537.742360880246,0
3.413501472098698,4.540601504367687,6.30777235407478,18538.76247539605,0
8.238996596889073,3.089923748952148,9.288019857195886,25046.798640288314,0
4.059431468029172,4.330321564154249,8.34212976694786,25770.00672165666,0
